CompositeDepth,TOC_mg_g,DBD_min,DBD_max,DBD_mean,CoreID
241.0,5.8,0.5357741974497431,0.7633596373050475,0.6164018292964488,CON01-603-5
243.0,5.9,0.5371032234658764,0.756178221488353,0.6187945877881941,CON01-603-5
245.0,6.1,0.5407615824255274,0.750694870037369,0.6193309477800749,CON01-603-5
247.0,6.7,0.5382347385447556,0.7707736344537947,0.6192848683067698,CON01-603-5
249.0,6.7,0.539571189514307,0.7579572851076264,0.6208494020601759,CON01-603-5
251.0,6.0,0.5424806130961958,0.7535203085002847,0.6242897154024757,CON01-603-5
253.0,6.2,0.5428796087504022,0.7686385172494921,0.6265947347357533,CON01-603-5
255.0,6.4,0.5437131312893659,0.7633212293408771,0.626022175941483,CON01-603-5
257.0,6.3,0.5450647337447391,0.7693671209696229,0.6271472355194835,CON01-603-5
259.0,6.4,0.5473286523259108,0.7932690294202217,0.6286928445041896,CON01-603-5
261.0,6.2,0.5475980670075755,0.8117961613586551,0.6310337355818542,CON01-603-5
263.0,6.7,0.547627412968087,0.7668950015670373,0.6304736193779967,CON01-603-5
265.0,6.1,0.5532916230964885,0.7516681986513457,0.633931681259724,CON01-603-5
267.0,5.8,0.5538171262002335,0.7635325466586562,0.636936641208815,CON01-603-5
269.0,6.2,0.5519904674804905,0.7784908453184143,0.638118719884728,CON01-603-5
