measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 347,11685,11753,11190,11398,12170,12525,Undatable,Yes
EN18218 348,11766,11819,11231,11454,12230,12558,Undatable,Yes
EN18218 349,11847,11884,11274,11511,12286,12590,Undatable,Yes
EN18218 350,11929,11947,11316,11565,12340,12622,Undatable,Yes
EN18218 351,12009,12009,11362,11621,12392,12655,Undatable,Yes
EN18218 352,12089,12072,11404,11680,12445,12686,Undatable,Yes
EN18218 353,12170,12136,11443,11743,12496,12720,Undatable,Yes
EN18218 354,12249,12201,11483,11811,12547,12753,Undatable,Yes
EN18218 355,12330,12268,11522,11883,12599,12785,Undatable,Yes
EN18218 356,12411,12336,11562,11953,12651,12818,Undatable,Yes
EN18218 357,12491,12404,11602,12024,12702,12855,Undatable,Yes
EN18218 358,12574,12473,11646,12094,12756,12890,Undatable,Yes
EN18218 359,12657,12541,11683,12155,12810,12928,Undatable,Yes
EN18218 360,12741,12609,11724,12212,12866,12965,Undatable,Yes
EN18218 361,12824,12678,11764,12266,12926,13006,Undatable,Yes
EN18218 362,12901,12746,11806,12320,12995,13050,Undatable,Yes
EN18218 363,12966,12806,11849,12375,13060,13098,Undatable,Yes
EN18218 364,12996,12841,11888,12429,13087,13139,Undatable,Yes
EN18218 365,13026,12877,11929,12480,13114,13190,Undatable,Yes
EN18218 366,13053,12913,11983,12532,13143,13246,Undatable,Yes
EN18218 367,13078,12949,12035,12585,13175,13304,Undatable,Yes
EN18218 368,13101,12985,12093,12638,13208,13366,Undatable,Yes
EN18218 369,13124,13021,12159,12690,13242,13423,Undatable,Yes
EN18218 370,13146,13056,12223,12742,13277,13484,Undatable,Yes
EN18218 371,13167,13092,12285,12794,13311,13546,Undatable,Yes
EN18218 372,13188,13127,12357,12846,13343,13609,Undatable,Yes
EN18218 373,13209,13162,12423,12898,13379,13670,Undatable,Yes
EN18218 374,13231,13196,12489,12950,13411,13732,Undatable,Yes
EN18218 375,13252,13231,12570,13002,13445,13793,Undatable,Yes
EN18218 376,13274,13267,12643,13054,13479,13848,Undatable,Yes
EN18218 377,13297,13303,12711,13103,13516,13897,Undatable,Yes
EN18218 378,13320,13339,12781,13154,13553,13950,Undatable,Yes
EN18218 379,13344,13375,12856,13202,13590,13997,Undatable,Yes
EN18218 380,13370,13411,12921,13250,13628,14047,Undatable,Yes
EN18218 381,13395,13447,12986,13292,13666,14093,Undatable,Yes
EN18218 382,13424,13483,13047,13328,13702,14146,Undatable,Yes
EN18218 383,13453,13518,13108,13360,13739,14199,Undatable,Yes
EN18218 384,13491,13558,13172,13398,13776,14254,Undatable,Yes
EN18218 385,13544,13609,13232,13454,13812,14299,Undatable,Yes
EN18218 386,13600,13660,13285,13505,13850,14351,Undatable,Yes
EN18218 387,13657,13711,13346,13552,13892,14395,Undatable,Yes
EN18218 388,13712,13762,13397,13596,13941,14436,Undatable,Yes
EN18218 389,13767,13813,13452,13637,13994,14487,Undatable,Yes
EN18218 390,13820,13864,13491,13680,14048,14533,Undatable,Yes
EN18218 391,13874,13915,13536,13723,14105,14579,Undatable,Yes
EN18218 392,13927,13964,13577,13764,14160,14633,Undatable,Yes
EN18218 393,13977,14013,13620,13806,14214,14694,Undatable,Yes
EN18218 394,14026,14061,13661,13849,14264,14760,Undatable,Yes
EN18218 395,14075,14109,13704,13893,14312,14816,Undatable,Yes
EN18218 396,14123,14157,13744,13938,14360,14873,Undatable,Yes
EN18218 397,14171,14206,13785,13985,14411,14929,Undatable,Yes
EN18218 398,14220,14256,13837,14033,14462,14988,Undatable,Yes
EN18218 399,14272,14307,13888,14081,14512,15047,Undatable,Yes
EN18218 400,14322,14358,13940,14130,14564,15107,Undatable,Yes
EN18218 401,14373,14410,13988,14177,14618,15174,Undatable,Yes
EN18218 402,14424,14461,14035,14223,14673,15235,Undatable,Yes
