measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 302,10422,10411,10189,10358,10477,10603,Bacon,Yes
EN18218 303,10456,10445,10217,10391,10513,10640,Bacon,Yes
EN18218 304,10491,10479,10246,10423,10549,10679,Bacon,Yes
EN18218 305,10525,10513,10273,10456,10586,10715,Bacon,Yes
EN18218 306,10560,10547,10302,10487,10623,10751,Bacon,Yes
EN18218 307,10596,10581,10332,10521,10659,10786,Bacon,Yes
EN18218 308,10633,10615,10361,10554,10697,10823,Bacon,Yes
EN18218 309,10670,10650,10389,10585,10735,10860,Bacon,Yes
EN18218 310,10705,10683,10416,10616,10771,10896,Bacon,Yes
EN18218 311,10742,10717,10444,10650,10807,10932,Bacon,Yes
EN18218 312,10781,10752,10476,10684,10844,10968,Bacon,Yes
EN18218 313,10817,10786,10504,10714,10881,11003,Bacon,Yes
EN18218 314,10858,10820,10536,10750,10919,11035,Bacon,Yes
EN18218 315,10897,10854,10563,10780,10956,11069,Bacon,Yes
EN18218 316,10938,10889,10595,10815,10994,11100,Bacon,Yes
EN18218 317,10979,10924,10628,10848,11030,11136,Bacon,Yes
EN18218 318,11014,10961,10661,10884,11066,11175,Bacon,Yes
EN18218 319,11049,10999,10699,10925,11105,11218,Bacon,Yes
EN18218 320,11083,11038,10734,10965,11141,11265,Bacon,Yes
EN18218 321,11117,11077,10773,11007,11178,11307,Bacon,Yes
EN18218 322,11154,11116,10809,11047,11215,11351,Bacon,Yes
EN18218 323,11188,11155,10850,11088,11253,11395,Bacon,Yes
EN18218 324,11226,11196,10890,11129,11292,11438,Bacon,Yes
EN18218 325,11262,11235,10932,11168,11329,11481,Bacon,Yes
EN18218 326,11299,11274,10969,11209,11368,11521,Bacon,Yes
EN18218 327,11334,11313,11009,11247,11404,11562,Bacon,Yes
EN18218 328,11370,11351,11049,11286,11441,11602,Bacon,Yes
EN18218 329,11409,11391,11088,11325,11480,11645,Bacon,Yes
EN18218 330,11447,11431,11132,11364,11518,11686,Bacon,Yes
EN18218 331,11486,11470,11176,11404,11557,11722,Bacon,Yes
EN18218 332,11522,11510,11217,11444,11594,11765,Bacon,Yes
EN18218 333,11562,11551,11261,11484,11633,11809,Bacon,Yes
EN18218 334,11600,11590,11304,11522,11672,11847,Bacon,Yes
EN18218 335,11639,11630,11347,11562,11711,11890,Bacon,Yes
EN18218 336,11677,11669,11391,11602,11748,11926,Bacon,Yes
EN18218 337,11717,11709,11433,11642,11786,11969,Bacon,Yes
EN18218 338,11757,11749,11482,11682,11824,12009,Bacon,Yes
EN18218 339,11796,11789,11526,11723,11863,12046,Bacon,Yes
EN18218 340,11840,11834,11573,11766,11908,12092,Bacon,Yes
EN18218 341,11884,11880,11620,11812,11951,12134,Bacon,Yes
EN18218 342,11932,11927,11664,11861,11999,12179,Bacon,Yes
EN18218 343,11978,11974,11711,11909,12046,12224,Bacon,Yes
EN18218 344,12026,12022,11762,11957,12095,12270,Bacon,Yes
EN18218 345,12073,12070,11805,12004,12143,12317,Bacon,Yes
EN18218 346,12122,12118,11861,12053,12190,12364,Bacon,Yes
EN18218 347,12169,12166,11909,12100,12238,12411,Bacon,Yes
EN18218 348,12217,12214,11960,12149,12286,12455,Bacon,Yes
EN18218 349,12264,12261,12009,12197,12332,12498,Bacon,Yes
EN18218 350,12313,12309,12063,12247,12378,12539,Bacon,Yes
EN18218 351,12361,12357,12114,12295,12426,12585,Bacon,Yes
EN18218 352,12408,12404,12169,12343,12471,12627,Bacon,Yes
EN18218 353,12454,12452,12221,12392,12518,12673,Bacon,Yes
EN18218 354,12503,12500,12274,12439,12564,12716,Bacon,Yes
EN18218 355,12552,12549,12328,12492,12611,12759,Bacon,Yes
EN18218 356,12600,12596,12380,12541,12657,12798,Bacon,Yes
EN18218 357,12648,12645,12435,12590,12703,12844,Bacon,Yes
EN18218 358,12695,12692,12492,12640,12749,12883,Bacon,Yes
EN18218 359,12742,12741,12550,12691,12794,12925,Bacon,Yes
EN18218 360,12790,12789,12607,12741,12840,12966,Bacon,Yes
EN18218 361,12837,12836,12667,12790,12886,13005,Bacon,Yes
EN18218 362,12885,12885,12732,12840,12930,13044,Bacon,Yes
EN18218 363,12932,12931,12785,12887,12972,13085,Bacon,Yes
EN18218 364,12970,12971,12825,12927,13012,13128,Bacon,Yes
EN18218 365,13006,13008,12859,12962,13050,13166,Bacon,Yes
EN18218 366,13041,13043,12891,12996,13086,13207,Bacon,Yes
EN18218 367,13075,13079,12922,13029,13122,13247,Bacon,Yes
EN18218 368,13112,13114,12954,13064,13159,13287,Bacon,Yes
EN18218 369,13147,13150,12986,13099,13194,13327,Bacon,Yes
EN18218 370,13180,13185,13017,13133,13230,13369,Bacon,Yes
EN18218 371,13216,13220,13050,13167,13268,13409,Bacon,Yes
EN18218 372,13250,13255,13080,13200,13303,13448,Bacon,Yes
EN18218 373,13285,13290,13112,13234,13339,13490,Bacon,Yes
EN18218 374,13320,13326,13143,13267,13375,13527,Bacon,Yes
EN18218 375,13355,13360,13175,13301,13411,13564,Bacon,Yes
EN18218 376,13389,13396,13210,13334,13447,13605,Bacon,Yes
EN18218 377,13423,13430,13246,13366,13484,13645,Bacon,Yes
EN18218 378,13456,13465,13279,13400,13520,13682,Bacon,Yes
EN18218 379,13493,13501,13312,13434,13554,13724,Bacon,Yes
EN18218 380,13528,13535,13345,13467,13592,13762,Bacon,Yes
EN18218 381,13561,13570,13377,13501,13628,13805,Bacon,Yes
EN18218 382,13598,13606,13411,13534,13664,13847,Bacon,Yes
EN18218 383,13636,13642,13448,13566,13701,13896,Bacon,Yes
EN18218 384,13675,13679,13483,13600,13739,13948,Bacon,Yes
EN18218 385,13717,13721,13523,13642,13782,13989,Bacon,Yes
EN18218 386,13763,13767,13566,13689,13825,14029,Bacon,Yes
EN18218 387,13812,13816,13608,13742,13873,14075,Bacon,Yes
EN18218 388,13860,13864,13652,13790,13922,14122,Bacon,Yes
EN18218 389,13909,13914,13696,13841,13973,14172,Bacon,Yes
EN18218 390,13957,13963,13738,13890,14024,14223,Bacon,Yes
EN18218 391,14006,14012,13781,13939,14075,14276,Bacon,Yes
EN18218 392,14056,14061,13821,13986,14125,14326,Bacon,Yes
EN18218 393,14105,14110,13867,14038,14175,14375,Bacon,Yes
EN18218 394,14156,14160,13913,14085,14228,14421,Bacon,Yes
EN18218 395,14206,14209,13957,14134,14280,14472,Bacon,Yes
EN18218 396,14255,14257,14003,14181,14329,14518,Bacon,Yes
EN18218 397,14307,14306,14047,14231,14379,14565,Bacon,Yes
EN18218 398,14354,14355,14096,14279,14429,14612,Bacon,Yes
EN18218 399,14405,14404,14141,14328,14481,14660,Bacon,Yes
EN18218 400,14452,14453,14186,14377,14532,14711,Bacon,Yes
EN18218 401,14504,14502,14233,14427,14584,14757,Bacon,Yes
EN18218 402,14559,14553,14281,14478,14635,14803,Bacon,Yes
EN18218 403,14608,14601,14330,14526,14685,14848,Bacon,Yes
EN18218 404,14663,14650,14375,14575,14736,14897,Bacon,Yes
